"Collection ID","Collection Name","Description","Attributes","Attribute Type","Required","Size","Default Value","Attribute Description","Supported Features"
"user_profiles","User Profiles","Stores user profile information for authentication, display, and social interactions.","username","string","true","50","","Unique username for the user.","Follow User, Search Users, Block Users, Mentions, User Metadata"
"user_profiles","","","firstName","string","false","50","","User's first name.","User Metadata"
"user_profiles","","","lastName","string","false","50","","User's last name.","User Metadata"
"user_profiles","","","userId","string","true","36","","Unique identifier for the user.","Follow User, Search Users, Block Users, Mentions, User Metadata"
"user_profiles","","","createdAt","datetime","true","","","Timestamp when the profile was created.","User Metadata"
"user_profiles","","","updatedAt","datetime","false","","","Timestamp when the profile was last updated.","User Metadata"
"user_profiles","","","profilePicture","string","false","1000","","URL to the user's profile picture.","User Metadata"
"user_profiles","","","bio","string","false","200","","User's biography or description.","Search Users, User Metadata"
"user_profiles","","","location","string","false","100","","User's location.","User Metadata"
"user_profiles","","","website","string","false","255","","User's website URL.","User Metadata"
"user_profiles","","","is_private","boolean","false","","false","Indicates if the user's account is private.","Follow User, User Metadata"
"user_reports","User Reports","Stores reports for flagged users, posts, comments, or messages for moderation.","reporter_id","string","true","255","","ID of the user who filed the report.","Flag Users, Flag Posts, Content Moderation"
"user_reports","","","reported_user_id","string","false","255","","ID of the reported user.","Flag Users, Content Moderation"
"user_reports","","","reported_post_id","string","false","255","","ID of the reported post.","Flag Posts, Content Moderation"
"user_reports","","","reported_comment_id","string","false","255","","ID of the reported comment.","Content Moderation"
"user_reports","","","reported_message_id","string","false","255","","ID of the reported chat message.","Content Moderation"
"user_reports","","","room_id","string","false","255","","ID of the chat room related to the report.","Content Moderation"
"user_reports","","","report_type","string","true","100","","Type of report (e.g., spam, harassment).","Flag Users, Flag Posts, Content Moderation"
"user_reports","","","description","string","true","1000","","Details of the report.","Flag Users, Flag Posts, Content Moderation"
"user_reports","","","status","string","false","50","pending","Status of the report (e.g., pending, reviewed).","Content Moderation"
"user_reports","","","reviewed_by","string","false","255","","ID of the moderator who reviewed the report.","Content Moderation"
"user_reports","","","reviewed_at","datetime","false","","","Timestamp when the report was reviewed.","Content Moderation"
"user_reports","","","action_taken","string","false","500","","Action taken on the report (e.g., post removed).","Content Moderation"
"blocked_users","Blocked Users","Tracks user blocking relationships to prevent interactions.","blocker_id","string","true","255","","ID of the user who blocked another user.","Block Users"
"blocked_users","","","blocked_id","string","true","255","","ID of the blocked user.","Block Users"
"blocked_users","","","reason","string","false","500","","Reason for blocking (optional).","Block Users"
"user_presence","User Presence","Tracks user online status and typing indicators for chat rooms.","user_id","string","true","255","","ID of the user.","Push Notifications (DMs)"
"user_presence","","","username","string","true","100","","Username of the user.","Push Notifications (DMs)"
"user_presence","","","status","string","false","50","offline","Online status (e.g., online, offline).","Push Notifications (DMs)"
"user_presence","","","current_room_id","string","false","255","","ID of the chat room the user is in.","Push Notifications (DMs)"
"user_presence","","","last_seen","datetime","true","","","Timestamp when the user was last seen.","Push Notifications (DMs)"
"user_presence","","","is_typing","boolean","false","","false","Indicates if the user is typing.","Push Notifications (DMs)"
"user_presence","","","typing_in_room","string","false","255","","ID of the room where the user is typing.","Push Notifications (DMs)"
"chat_messages","Chat Messages","Stores messages in chat rooms or DMs with threading and reactions.","room_id","string","true","255","","ID of the chat room.","Push Notifications (DMs)"
"chat_messages","","","user_id","string","true","255","","ID of the user who sent the message.","Push Notifications (DMs)"
"chat_messages","","","username","string","true","100","","Username of the sender.","Push Notifications (DMs)"
"chat_messages","","","user_avatar","string","false","500","","URL to the sender's avatar.","Push Notifications (DMs)"
"chat_messages","","","message","string","true","2000","","Content of the message.","Push Notifications (DMs)"
"chat_messages","","","message_type","string","true","50","","Type of message (e.g., text, image).","Push Notifications (DMs)"
"chat_messages","","","parent_id","string","false","255","","ID of the parent message for threading.","Push Notifications (DMs)"
"chat_messages","","","attachments","string","false","255","","Array of attachment URLs.","Push Notifications (DMs)"
"chat_messages","","","reactions","string","false","50","","Array of reactions to the message.","Push Notifications (DMs)"
"chat_messages","","","pinned","boolean","false","","false","Indicates if the message is pinned.","Push Notifications (DMs)"
"chat_messages","","","is_edited","boolean","false","","false","Indicates if the message was edited.","Push Notifications (DMs)"
"chat_messages","","","edited_at","datetime","false","","","Timestamp when the message was edited.","Push Notifications (DMs)"
"chat_messages","","","is_deleted","boolean","false","","false","Indicates if the message was deleted.","Push Notifications (DMs)"
"room_participants","Room Participants","Tracks users participating in chat rooms.","room_id","string","true","255","","ID of the chat room.","Push Notifications (DMs)"
"room_participants","","","user_id","string","true","255","","ID of the participant.","Push Notifications (DMs)"
"room_participants","","","username","string","true","100","","Username of the participant.","Push Notifications (DMs)"
"room_participants","","","joined_at","datetime","true","","","Timestamp when the user joined the room.","Push Notifications (DMs)"
"room_participants","","","last_seen","datetime","true","","","Timestamp when the user was last seen in the room.","Push Notifications (DMs)"
"room_participants","","","message_count","integer","false","","0","Total messages sent by the user in the room.","Push Notifications (DMs)"
"room_participants","","","daily_message_count","integer","false","","0","Daily messages sent by the user in the room.","Push Notifications (DMs)"
"chat_rooms","Chat Rooms","Manages chat rooms or DMs with metadata.","name","string","true","200","","Name of the chat room.","Push Notifications (DMs)"
"chat_rooms","","","name_lc","string","true","200","","Lowercase name for search.","Push Notifications (DMs)"
"chat_rooms","","","type","string","true","50","","Type of room (e.g., group, DM).","Push Notifications (DMs)"
"chat_rooms","","","description","string","false","500","","Description of the room.","Push Notifications (DMs)"
"chat_rooms","","","participant_count","integer","false","","0","Number of participants in the room.","Push Notifications (DMs)"
"chat_rooms","","","active_users_count","integer","false","","0","Number of active users in the room.","Push Notifications (DMs)"
"chat_rooms","","","total_messages","integer","false","","0","Total messages in the room.","Push Notifications (DMs)"
"chat_rooms","","","daily_messages","integer","false","","0","Daily messages in the room.","Push Notifications (DMs)"
"chat_rooms","","","last_message_at","datetime","false","","","Timestamp of the last message.","Push Notifications (DMs)"
"chat_rooms","","","is_active","boolean","false","","true","Indicates if the room is active.","Push Notifications (DMs)"
"chat_rooms","","","color_primary","integer","false","","0","Primary color for UI.","Push Notifications (DMs)"
"chat_rooms","","","color_secondary","integer","false","","16777215","Secondary color for UI.","Push Notifications (DMs)"
"chat_rooms","","","order","integer","false","","0","Order for sorting rooms.","Push Notifications (DMs)"
"chat_rooms","","","category","string","true","50","","Category of the room.","Push Notifications (DMs)"
"chat_rooms","","","totalMessagesToday","integer","false","","","Total messages sent today.","Push Notifications (DMs)"
"user_names_history","User Names History","Tracks historical usernames for auditing and search.","username","string","true","50","","Previous username.","Search Users"
"user_names_history","","","userId","string","true","36","","ID of the user.","Search Users"
"user_names_history","","","subscriptionType","string","false","20","Free","Subscription type at the time of change.","Search Users"
"user_names_history","","","updatedAt","datetime","false","","","Timestamp when the username was updated.","Search Users"
"user_names_history","","","createdAt","datetime","false","","","Timestamp when the record was created.","Search Users"
"feed_posts","Feed Posts","Stores social media posts with content and engagement metrics.","room_id","string","true","255","","ID of the room or context for the post.","Posting Texts, Posting Image, Posting Link, Displaying Post, Hashtag Storage, Mentions, Editing Posts, Deleting Posts, Content Sharing"
"feed_posts","","","user_id","string","true","255","","ID of the user who created the post.","Posting Texts, Posting Image, Posting Link, Displaying Post"
"feed_posts","","","username","string","true","100","","Username of the post creator.","Displaying Post"
"feed_posts","","","user_avatar","string","false","500","","URL to the creator's avatar.","Displaying Post"
"feed_posts","","","content","string","true","2000","","Text content of the post.","Posting Texts, Mentions"
"feed_posts","","","media_urls","string","false","255","","Array of media URLs (images).","Posting Image"
"feed_posts","","","link_url","string","false","255","","URL shared in the post.","Posting Link"
"feed_posts","","","link_metadata","string","false","1000","","Metadata for the shared URL (e.g., title, image).","Posting Link"
"feed_posts","","","hashtags","string","false","50","","Array of hashtags in the post.","Hashtag Identification and Storage"
"feed_posts","","","mentions","string","false","50","","Array of mentioned usernames.","Mentions/Tagging Users"
"feed_posts","","","like_count","integer","false","","0","Number of likes on the post.","Like/Unlike Post, Feed Algorithms"
"feed_posts","","","comment_count","integer","false","","0","Number of comments on the post.","Feed Algorithms"
"feed_posts","","","repost_count","integer","false","","0","Number of reposts.","Repost and Undo Repost"
"feed_posts","","","share_count","integer","false","","0","Number of shares.","Content Sharing Outside App"
"feed_posts","","","is_edited","boolean","false","","false","Indicates if the post was edited.","Editing Posts"
"feed_posts","","","edited_at","datetime","false","","","Timestamp when the post was edited.","Editing Posts"
"feed_posts","","","is_deleted","boolean","false","","false","Indicates if the post was deleted.","Deleting Posts"
"post_comments","Post Comments","Stores comments and replies on posts with threading.","post_id","string","true","255","","ID of the post being commented on.","Commenting on Main Posts, Replying, Comments Thread, Deleting Comments"
"post_comments","","","user_id","string","true","255","","ID of the user who commented.","Commenting on Main Posts, Replying"
"post_comments","","","username","string","true","100","","Username of the commenter.","Commenting on Main Posts, Replying"
"post_comments","","","user_avatar","string","false","500","","URL to the commenter's avatar.","Commenting on Main Posts, Replying"
"post_comments","","","parent_id","string","false","255","","ID of the parent comment for threading.","Replying, Comments Thread"
"post_comments","","","content","string","true","2000","","Text content of the comment.","Commenting on Main Posts, Replying, Mentions"
"post_comments","","","media_urls","string","false","255","","Array of media URLs in the comment.","Commenting on Main Posts, Replying"
"post_comments","","","like_count","integer","false","","0","Number of likes on the comment.","Liking Comments on Comments Thread"
"post_comments","","","reply_count","integer","false","","0","Number of replies to the comment.","Comments Thread"
"post_comments","","","is_deleted","boolean","false","","false","Indicates if the comment was deleted.","Deleting Comments"
"post_comments","","","is_edited","boolean","false","","false","Indicates if the comment was edited.","Commenting on Main Posts"
"post_comments","","","edited_at","datetime","false","","","Timestamp when the comment was edited.","Commenting on Main Posts"
"post_likes","Post Likes","Tracks likes for posts, comments, or reposts.","item_id","string","true","255","","ID of the liked item (post, comment, repost).","Like/Unlike Post, Liking Reposts, Liking Comments"
"post_likes","","","item_type","string","true","10","","Type of liked item (post, comment, repost).","Like/Unlike Post, Liking Reposts, Liking Comments"
"post_likes","","","user_id","string","true","255","","ID of the user who liked the item.","Like/Unlike Post, Liking Reposts, Liking Comments"
"post_reposts","Post Reposts","Tracks reposts of posts with optional comments.","post_id","string","true","255","","ID of the reposted post.","Repost and Undo Repost"
"post_reposts","","","user_id","string","true","255","","ID of the user who reposted.","Repost and Undo Repost"
"post_reposts","","","comment","string","false","2000","","Optional comment added during repost.","Repost and Undo Repost"
"hashtags","Hashtags","Stores unique hashtags and their usage for discoverability.","hashtag","string","true","50","","The hashtag text (e.g., #social).","Hashtag Identification and Storage"
"hashtags","","","usage_count","integer","false","","1","Number of times the hashtag was used.","Hashtag Identification and Storage"
"hashtags","","","last_used_at","datetime","true","","","Timestamp when the hashtag was last used.","Hashtag Identification and Storage"
"bookmarks","Bookmarks","Stores user bookmarks for posts.","user_id","string","true","255","","ID of the user who bookmarked.","Bookmarking Posts, Undo Bookmark"
"bookmarks","","","post_id","string","true","255","","ID of the bookmarked post.","Bookmarking Posts, Undo Bookmark"
"bookmarks","","","created_at","datetime","true","","","Timestamp when the bookmark was created.","Bookmarking Posts, Undo Bookmark"
"follows","Follows","Tracks user follow relationships.","follower_id","string","true","255","","ID of the user who is following.","Follow User"
"follows","","","followed_id","string","true","255","","ID of the user being followed.","Follow User"
"follows","","","created_at","datetime","true","","","Timestamp when the follow was created.","Follow User"
"activity_logs","Activity Logs","Tracks user actions for activity history.","user_id","string","true","255","","ID of the user who performed the action.","Activity Logs"
"activity_logs","","","action_type","string","true","50","","Type of action (e.g., post, comment, like).","Activity Logs"
"activity_logs","","","item_id","string","false","255","","ID of the item related to the action.","Activity Logs"
"activity_logs","","","item_type","string","false","50","","Type of item (e.g., post, comment).","Activity Logs"
"activity_logs","","","created_at","datetime","true","","","Timestamp when the action occurred.","Activity Logs"
"notifications","Notifications","Stores user notifications for engagement actions.","user_id","string","true","255","","ID of the user receiving the notification.","Push Notifications"
"notifications","","","actor_id","string","true","255","","ID of the user who triggered the notification.","Push Notifications"
"notifications","","","action_type","string","true","50","","Type of action (e.g., comment, follow, like).","Push Notifications"
"notifications","","","item_id","string","false","255","","ID of the item related to the notification.","Push Notifications"
"notifications","","","item_type","string","false","50","","Type of item (e.g., post, comment, message).","Push Notifications"
"notifications","","","is_read","boolean","false","","false","Indicates if the notification was read.","Push Notifications"
"notifications","","","created_at","datetime","true","","","Timestamp when the notification was created.","Push Notifications"